Comment,Cleaned_Comment
3 replies,replies
,nan
Your presentation of the incidence is very good and clear keep it up sir present some other news also which I could not understand.thank you.,your presentation of the incidence is very good and clear keep it up sir present some other news also which i could not understandthank you
Reply,reply
"ನೀವು ಸದಾ ಫ್ಯಾಕ್ಟ್ ಇಂದ ನಿಷ್ಪಕ್ಷ ಮಾತು ಹೇಳ್ತೀರಾ ತುಂಬಾ ಉತ್ತಮ ನಿತೀಶ್ ರಾಜಪೂತ್ ಬ್ರದರ್ , ದೇವರು ನಿಮಗೆ  ಆಯಸ್ಸು ಹಾಗೂ ಆಶೀರ್ವಾದ ನೀಡಲಿ ಅಂತ  ಕೇಳಿ ಕೊಳ್ಳುತೇನೆ",
Reply,reply
4 replies,replies
,nan
Nitish Rajput salute brother .....zero politics+pure content.... hat's off bro,nitish rajput salute brother zero politicspure content hats off bro
Reply,reply
"If you notice, Nitish Rajput didn't talk about any sponsor in this video. He probably won't bother about the sponsors for this video. Kudos for his passion to stand beside the truth.",if you notice nitish rajput didnt talk about any sponsor in this video he probably wont bother about the sponsors for this video kudos for his passion to stand beside the truth
Reply,reply
1 reply,reply
,nan
Appreciated your efforts....,appreciated your efforts
Reply,reply
Who want resignation of Chief Minister,who want resignation of chief minister
Reply,reply
17 replies,replies
,nan
मेरी जिंदगी में ऐसा पहली बार हुआ है कि मुझे कोई वीडियो इतनी पसंद आई है और बड़ी क्लेरिटी से  वीडियो समझ गई और दिल तो यह कर रहा था की वीडियो कभी खत्म ही ना हो। बहुत अच्छी वीडियो बनाई है।,
Reply,reply
"बहुत ही अच्छी जानकारी दी गई ,,भाई उस बहन को न्याय मिलना चाहिए,,बाकी ये जितने भी यूट्यूबर्स है फालतू की बाते कर अपनी कमाई कर रहे है,,",
Reply,reply
I love the way you explain in detailed manner,i love the way you explain in detailed manner
Reply,reply
"Finally Wait Is Over . आपकी Video पूरी Details और बोहत सारी बेहतर Reseach के साथ होती है ताकि जरा सी भी गलती न हो। इसी वजह से Video बनने में काफी Time लग जाता है। कुछ लोग 3-4 Video में Topic Cover करते है। आपकी एक Video ही काफी होती है। 
                                          जय हिन्द 🇮🇳",finally wait is over   video  details     reseach               video    time       video  topic cover     video
Reply,reply
"I'm from Kolkata..and leave near this hospital about 10 km ...in kolkata darty politics is in every field... hospital, police, municipality jobs,,,scam call centers...और ये जो हुआ है वो शायद कितनी बार ही हो चुका है पर कभी सामने नहीं आ पाया
तो बस एक पंक्ति सब याद रखो

सिर्फ़ हंगामा खड़ा करना हमारा मक़सद नहीं, 

हमारी कोशिश है कि ये सूरत बदलनी चाहिए। 

मेरे सीने में नहीं तो तेरे सीने में सही, 

हो कहीं भी आग, लेकिन आग जलनी चाहिए। 


और ये आग आज ये गंदगी नहीं मिटा पाई तो कभी नहीं मीट पाएगा और
बेस्ट वीडियो नीतीश भैया
दिल से शुक्रिया",im from kolkataand leave near this hospital about  km in kolkata darty politics is in every field hospital police municipality jobsscam call centers
Reply,reply
15 replies,replies
,nan
Noticed that Nitish Rajput has not advertised any product within this video possibly out of respect for the victim.  Prayers for the victim's family.,noticed that nitish rajput has not advertised any product within this video possibly out of respect for the victim  prayers for the victims family
Reply,reply
sir justic milna chye sare victims ko but ap bolte bht accha ho,sir justic milna chye sare victims ko but ap bolte bht accha ho
Reply,reply
