Comment,Cleaned_Comment
1 reply,reply
,nan
"Nitish Rajput is not only an youtuber but he is a real journalist with no fear of anyone, hats off and feel proud to be a follower of U",nitish rajput is not only an youtuber but he is a real journalist with no fear of anyone hats off and feel proud to be a follower of u
Reply,reply
Itne sare news channel hone ke bawjud bhi itna clear information kisine nahi diya.  Best information,itne sare news channel hone ke bawjud bhi itna clear information kisine nahi diya  best information
Reply,reply
"Kolkata case ko le ke Maine bahut se video dekha lekin samjh nhi aaya  lekin is ko video dekhne ke baat pata chala Puri kahani, itna detail  ke saath koi explain nhi kar sakta .. Superb video h.",kolkata case ko le ke maine bahut se video dekha lekin samjh nhi aaya  lekin is ko video dekhne ke baat pata chala puri kahani itna detail  ke saath koi explain nhi kar sakta  superb video h
Reply,reply
1 reply,reply
,nan
I appreciate how this man provided information without pulling her into it when not needed. Thank you for your information,i appreciate how this man provided information without pulling her into it when not needed thank you for your information
Reply,reply
1 reply,reply
,nan
OMG your video editor is damn good please appreciate him/her for the hard work they put in your videos,omg your video editor is damn good please appreciate himher for the hard work they put in your videos
Reply,reply
i don't know how many days and nights of efforts you have put for this video... but I'm proud that I watch your content.,i dont know how many days and nights of efforts you have put for this video but im proud that i watch your content
Reply,reply
6 replies,replies
,nan
I appreciate how this channel sticks to the facts without any bias—it's refreshing to see objective information presented so clearly. Thank you sir.,i appreciate how this channel sticks to the facts without any biasits refreshing to see objective information presented so clearly thank you sir
Reply,reply
थैंक यू सर इतनी महत्वपूर्ण जानकारी इतनी साफ लफ्जों में बताने के लिए,
Reply,reply
"Good knowledge given about this case, thanks brother.",good knowledge given about this case thanks brother
Reply,reply
1 reply,reply
,nan
Bina skip kiye huye pahli baar koi video dekha hu kitna acha explain Kiya h sir aap ne,bina skip kiye huye pahli baar koi video dekha hu kitna acha explain kiya h sir aap ne
Reply,reply
Waaah sir Maine bhaut sari videos dekhi YouTube per kolkata case se related but jitni saaf or sachhi baat apne kahi apni video mai utni sachhai ki video mai nahi thi,waaah sir maine bhaut sari videos dekhi youtube per kolkata case se related but jitni saaf or sachhi baat apne kahi apni video mai utni sachhai ki video mai nahi thi
Reply,reply
9 replies,replies
,nan
Salute to Alhtar Ali for report and bravery he showed,salute to alhtar ali for report and bravery he showed
Reply,reply
